0.56,8.08,6.82,6.44,5.55,5.18,4.66,4.28,3.9,3.61,3.39,3.01,2.62,2.34,2.12,1.731,1.345,1.059,0.831,0.64,0.6,0.562,0.493,0.461,0.435
0.58,8.5,7.15,6.75,5.8,5.39,4.86,4.45,4.04,3.74,3.51,3.1,2.69,2.4,2.16,1.754,1.35,1.054,0.82,0.628,0.588,0.551,0.486,0.456,0.433
0.6,8.94,7.5,7.07,6.06,5.63,5.05,4.62,4.19,3.87,3.62,3.19,2.77,2.45,2.2,1.776,1.355,1.049,0.809,0.615,0.576,0.541,0.479,0.451,0.432
0.62,9.38,7.85,7.39,6.32,5.86,5.25,4.8,4.35,4.01,3.75,3.29,2.84,2.5,2.24,1.798,1.359,1.042,0.797,0.604,0.566,0.531,0.472,0.447,0.432
0.64,9.84,8.21,7.73,6.59,6.11,5.46,4.98,4.5,4.15,3.87,3.38,2.91,2.56,2.28,1.819,1.363,1.036,0.786,0.593,0.555,0.522,0.466,0.444,0.431
0.66,10.3,8.58,8.07,6.86,6.35,5.67,5.16,4.65,4.28,3.98,3.48,2.98,2.61,2.33,1.84,1.365,1.029,0.774,0.582,0.546,0.513,0.461,0.441,0.43
0.68,10.78,8.96,8.42,7.15,6.61,5.9,5.35,4.82,4.41,4.11,3.58,3.05,2.67,2.37,1.86,1.358,1.02,0.762,0.571,0.536,0.505,0.456,0.439,0.43
0.7,11.27,9.34,8.78,7.43,6.87,6.12,5.54,4.97,4.56,4.23,3.68,3.12,2.72,2.41,1.879,1.369,1.013,0.751,0.561,0.527,0.498,0.452,0.437,0.429
0.72,11.77,9.74,9.14,7.72,7.13,6.34,5.73,5.13,4.71,4.36,3.78,3.2,2.76,2.45,1.898,1.369,1.005,0.739,0.551,0.518,0.491,0.449,0.435,0.429
0.74,12.28,10.15,9.5,8.02,7.39,6.55,5.92,5.31,4.84,4.48,3.88,3.27,2.83,2.49,1.916,1.37,0.996,0.728,0.541,0.51,0.484,0.446,0.434,0.429
0.76,12.8,10.56,9.88,8.33,7.66,6.79,6.13,5.48,5,4.62,3.98,3.34,2.89,2.53,1.934,1.37,0.987,0.716,0.533,0.503,0.478,0.443,0.433,0.429
0.78,13.34,10.98,10.27,8.64,7.94,7.02,6.33,5.65,5.15,4.75,4.08,3.42,2.94,2.57,1.952,1.369,0.978,0.705,0.525,0.496,0.472,0.44,0.432,0.429
0.8,13.88,11.4,10.66,8.95,8.22,7.25,6.53,5.82,5.29,4.88,4.18,3.49,2.99,2.61,1.968,1.368,0.967,0.694,0.517,0.489,0.467,0.438,0.431,0.429
0.82,14.44,11.84,11.07,9.27,8.49,7.5,6.74,5.99,5.44,5.01,4.28,3.56,3.05,2.65,1.98,1.366,0.958,0.682,0.509,0.483,0.463,0.437,0.43,0.429
0.84,15,12.29,11.48,9.59,8.78,7.74,6.95,6.16,5.59,5.15,4.38,3.64,3.1,2.68,1.999,1.363,0.947,0.67,0.502,0.477,0.458,0.435,0.43,0.429
0.86,15.57,12.74,11.89,9.91,9.08,7.99,7.16,6.34,5.75,5.28,4.49,3.71,3.15,2.72,2.01,1.36,0.937,0.659,0.495,0.472,0.455,0.434,0.43,0.429
0.88,16.16,13.19,12.3,10.26,9.38,8.23,7.38,6.53,5.9,5.41,4.59,3.79,3.21,2.76,2.03,1.357,0.926,0.648,0.489,0.467,0.451,0.433,0.429,0.429
0.9,16.25,13.66,12.73,10.61,9.67,8.49,7.59,6.7,6.05,5.56,4.7,3.8,3.26,2.8,2.04,1.352,0.915,0.638,0.483,0.463,0.448,0.432,0.429,0.429
0.92,17.36,14.14,13.17,10.95,9.98,8.75,7.81,6.88,6.21,5.7,4.8,3.93,3.31,2.83,2.05,1.347,0.903,0.627,0.478,0.459,0.446,0.431,0.429,0.429
0.94,17.97,14.62,13.6,11.28,10.31,9.01,8.04,7.07,6.37,5.84,4.91,4.01,3.36,2.87,2.06,1.341,0.891,0.617,0.473,0.452,0.443,0.431,0.429,0.429
0.96,18.62,15.1,14.06,11.64,10.63,9.27,8.26,7.27,6.54,5.98,5.01,4.08,3.42,2.9,2.08,1.335,0.88,0.607,0.468,0.449,0.441,0.43,0.429,0.429
0.98,19.27,15.6,14.52,12,10.95,9.53,8.48,7.46,6.7,6.12,5.12,4.15,3.47,2.94,2.09,1.329,0.868,0.597,0.464,0.446,0.439,0.43,0.429,0.429
1,19.92,16.11,14.98,12.37,11.26,9.81,8.72,7.65,6.87,6.25,5.22,4.23,3.53,2.97,2.1,1.322,0.857,0.587,0.46,0.441,0.438,0.43,0.429,0.429
1.05,21.6,17.4,16.2,13.3,12.1,10.5,9.32,8.14,7.29,6.6,5.49,4.41,3.64,3.05,2.12,1.303,0.826,0.565,0.452,0.437,0.434,0.429,0.429,0.429
1.1,23.3,18.7,17.4,14.3,13,11.2,9.89,8.63,7.71,6.98,5.76,4.59,3.76,3.13,2.13,1.28,0.797,0.544,0.445,0.434,0.432,0.429,0.429,0.429
1.15,25.1,20.1,18.7,15.2,13.8,11.9,10.5,9.15,8.13,7.34,6.03,4.77,3.88,3.2,2.15,1.255,0.766,0.526,0.44,0.432,0.431,0.429,0.429,0.429
1.2,27,21.6,20,16.3,14.7,12.7,11.1,9.64,8.57,7.71,6.3,4.94,3.99,3.27,2.15,1.228,0.738,0.509,0.437,0.431,0.43,0.429,0.429,0.429
1.25,28.9,23.1,21.3,17.3,15.6,13.4,11.8,10.1,8.99,8.09,6.57,5.12,4.1,3.34,2.16,1.199,0.709,0.494,0.434,0.43,0.429,0.429,0.429,0.429
1.3,30.9,24.6,22.7,18.4,16.6,14.2,12.4,10.7,9.45,8.48,6.84,5.29,4.21,3.4,2.16,1.167,0.681,0.483,0.432,0.429,0.429,0.429,0.429,0.429
1.35,33,26.2,24.1,19.5,17.6,15,13.1,11.2,9.9,8.85,7.11,5.46,4.31,3.46,2.15,1.135,0.656,0.472,0.431,0.429,0.429,0.429,0.429,0.429
1.4,35.1,27.8,25.6,20.7,18.6,15.8,13.8,11.8,10.3,9.23,7.38,5.62,4.41,3.51,2.14,1.102,0.63,0.463,0.43,0.429,0.429,0.429,0.429,0.429
1.45,37.2,29.4,27.1,21.8,19.6,16.6,14.5,12.3,10.8,9.62,7.65,5.78,4.5,3.55,2.13,1.067,0.606,0.455,0.43,0.429,0.429,0.429,0.429,0.429
1.5,39.5,31.1,28.7,23,20.6,17.5,15.1,12.9,11.3,10,7.92,5.94,4.59,3.59,2.11,1.033,0.586,0.45,0.429,0.429,0.429,0.429,0.429,0.429
1.55,41.8,32,30.2,24.2,21.7,18.3,15.8,13.5,11.7,10.4,8.18,6.1,4.67,3.63,2.1,0.998,0.565,0.445,0.429,0.429,0.429,0.429,0.429,0.429
1.6,44.1,34.7,31.9,25.5,22.7,19.2,16.6,14,12.2,10.8,8.44,6.24,4.75,3.66,2.07,0.964,0.547,0.441,0.429,0.429,0.429,0.429,0.429,0.429
1.65,46.5,36.5,33.5,26.7,23.8,20.1,17.3,14.6,12.7,11.2,8.7,6.3,4.83,3.69,2.05,0.929,0.53,0.438,0.429,0.429,0.429,0.429,0.429,0.429
1.7,49,38.3,35.2,28,25,20.9,18,15.2,13.1,11.6,8.96,6.53,4.89,3.71,2.02,0.896,0.516,0.435,0.429,0.429,0.429,0.429,0.429,0.429
1.75,51.5,40.3,37,29.3,26.1,21.9,18.8,15.8,13,11.9,9.22,6.67,4.96,3.73,1.99,0.862,0.502,0.433,0.429,0.429,0.429,0.429,0.429,0.429
1.8,54.1,42.2,38.7,30.6,27.2,22.8,19.6,16.4,14.1,12.3,9.47,6.81,5.02,3.74,1.95,0.831,0.491,0.432,0.429,0.429,0.429,0.429,0.429,0.429
1.85,56.8,44.2,40.5,32,28.4,23.7,20.3,17,14.6,12.8,9.72,6.93,5.07,3.75,1.92,0.798,0.481,0.431,0.429,0.429,0.429,0.429,0.429,0.429
1.9,59.4,46.2,42.3,33.4,29.5,24.7,21.1,17.6,15,13.2,9.97,7.06,5.12,3.76,1.88,0.769,0.472,0.43,0.429,0.429,0.429,0.429,0.429,0.429
1.95,62.2,48.3,44.1,34.8,30.8,25.6,21.9,18.1,15.6,13.6,10.2,7.18,5.17,3.76,1.84,0.739,0.464,0.43,0.429,0.429,0.429,0.429,0.429,0.429
2,65,50.4,46,36.2,32,26.6,22.6,18.8,16,13.9,10.5,7.29,5.21,3.75,1.8,0.711,0.458,0.429,0.429,0.429,0.429,0.429,0.429,0.429
